gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.850000381469727,29.850000381469727,0
0,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95000076293945,1889.5,0
0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.84999847412109,108.1500015258789,1
0,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.29999923706055,1840.75,0
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.69999694824219,151.64999389648438,1
1,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.6500015258789,820.5,1
0,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.0999984741211,1949.4000244140625,0
1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,301.8999938964844,0
1,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.8000030517578,3046.050048828125,1
0,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.150001525878906,3487.949951171875,0
0,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95000076293945,587.4500122070312,0
0,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,1,18.950000762939453,326.79998779296875,0
0,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,1,100.3499984741211,5681.10009765625,0
0,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,0,103.6999969482422,5036.2998046875,1
0,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,2,105.5,2686.050048828125,0
1,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,113.25,7895.14990234375,0
1,0,0,0,52,1,0,2,0,0,0,0,0,0,1,0,3,20.649999618530277,1022.9500122070312,0
0,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,0,106.6999969482422,7382.25,0
1,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,1,55.20000076293945,528.3499755859375,1
1,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,2,90.05000305175781,1862.9000244140625,0
0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,39.650001525878906,39.650001525878906,1
0,0,1,0,12,1,0,2,0,0,0,0,0,0,1,0,0,19.799999237060547,202.25,0
0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.149999618530277,20.149999618530277,1
1,0,1,0,58,1,1,0,0,1,0,1,0,0,2,1,1,59.900001525878906,3505.10009765625,0
0,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,1,59.59999847412109,2970.300048828125,0
1,0,0,0,30,1,0,0,1,1,0,0,0,0,0,1,0,55.29999923706055,1530.5999755859375,0
0,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,2,99.3499984741211,4749.14990234375,1
0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,30.200000762939453,30.200000762939453,1
0,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,1,90.25,6369.4501953125,0
1,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,3,64.69999694824219,1093.0999755859375,1
1,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,1,96.3499984741211,6766.9501953125,0
0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,1,95.5,181.6499938964844,0
1,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,3,66.1500015258789,1874.449951171875,0
0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,20.200000762939453,20.200000762939453,0
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0
1,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,0,99.9000015258789,7251.7001953125,0
0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.69999694824219,316.8999938964844,1
1,0,0,0,46,1,0,1,0,0,1,0,0,0,0,1,1,74.80000305175781,3548.300048828125,0
0,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,2,106.3499984741211,3549.25,1
1,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,0,97.8499984741211,1105.4000244140625,1
0,0,1,1,10,1,0,0,0,1,0,0,0,0,1,0,3,49.54999923706055,475.7000122070313,0
1,0,1,1,70,1,1,0,1,1,0,0,1,0,2,1,1,69.19999694824219,4872.35009765625,0
1,0,1,1,17,1,0,2,0,0,0,0,0,0,1,0,3,20.75,418.25,0
1,0,0,0,63,1,1,0,1,1,1,1,1,0,2,1,1,79.8499984741211,4861.4501953125,0
1,0,1,0,13,1,1,0,1,1,0,1,1,0,0,1,2,76.19999694824219,981.4500122070312,0
1,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,2,84.5,3906.699951171875,0
0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,49.25,97.0,0
1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,2,80.6500015258789,144.14999389648438,1
